nombre,muni_id,cod_dane,id_sede,jornada
C. E. R. LUIS ESPINOSA RUIZ,5034,205034000329,178188,C
I. E. PBRO JULIO TAMAYO,5150,105150000099,178263,C
COLEGIO GABRIELA MISTRAL,5212,105212000538,178290,M
COLEGIO GABRIELA MISTRAL,5212,105212000538,178293,T
I. E.  MANUEL ANTONIO TORO,5284,105284000214,178305,M
I. E.  MANUEL ANTONIO TORO,5284,105284000214,178308,T
I. E. SANTO TOMAS DE AQUINO,5318,105318000049,178332,M
I. E. SANTO TOMAS DE AQUINO,5318,105318000049,178335,T
INSTITUCION EDUCATIVA SANTA,17873,117873000991,178422,M
INSTITUCION EDUCATIVA SANTA,17873,117873000991,178425,T
AGROECOLOGICO,18150,118150001758,178428,M
AGROECOLOGICO,18150,118150001758,178431,T
BUENOS AIRES,18150,118150001758,178437,M
BUENOS AIRES,18150,118150001758,178440,T
ATANASIO GIRARDOT,18150,118150001758,178443,M
ATANASIO GIRARDOT,18150,118150001758,178446,T
CENT DOC URB MIX STA TERESA,23189,123189000337,178581,M
IE SAN ISIDRO,23189,123189000337,178584,M
IE SAN ISIDRO,23189,123189000337,178587,T
CENT EDUC URB MIX EL CARMEN,23189,123189000337,178590,M
CENTRO EDUC. DIST. JESUS MA,8001,108001002657,178803,T
INST. EDUC. DIST. CONCENTRA,8001,108001002835,178812,M
INST. EDUC. DIST. CONCENTRA,8001,108001002835,178815,T
SAN JOSE  DE TUBARA,8832,108832000111,178863,M
INSTITUCION EDUCATIVA TECNI,8832,108832000111,178866,M
CENT EDUC DIST AGUAS CLARAS,11001,111001012459,178932,M
CENT EDUC DIST AGUAS CLARAS,11001,111001012459,178935,T
CENT EDUC DIST SAN JOSE NOR,11001,111001012459,178938,M
CENT EDUC DIST SAN JOSE NOR,11001,111001012459,178941,T
CENT EDUC DIST TAYRONA,11001,111001012963,178944,M
CENT EDUC DIST TAYRONA,11001,111001012963,178947,T
COL DIST BENJAMIN HERRERA,11001,111001012963,178950,M
COL DIST BENJAMIN HERRERA,11001,111001012963,178953,T
CENT EDUC DIST REP DE FRANC,11001,111001012963,178956,M
CENT EDUC DIST REP DE FRANC,11001,111001012963,178959,T
COLEGIO ATABANZHA (IED),11001,111001046931,179076,M
COLEGIO ATABANZHA (IED),11001,111001046931,179079,T
COLEGIO DEPARTAMENTAL LA IN,68524,168524000111,179502,M
CIUDAD DE CALI,76001,176001003918,179643,M
INSTITUCIÓN EDUCATIVA JUAN,76001,176001003918,179646,M
INSTITUCIÓN EDUCATIVA JUAN,76001,176001003918,179649,T
JULIO RINCON,76001,176001003918,179652,M
JULIO RINCON,76001,176001003918,179655,T
BELLO HORIZONTE,76001,176001003918,179658,M
NIÑO JESUS DE PRAGA,76001,176001003918,179664,M
LIBARDO MADRID VALDERRAMA,76622,176622000084,179814,M
CARLOS VILLAFAÑE,76622,176622000084,179817,M
NORMAL SUPERIOR JORGE ISAAC,76622,176622000084,179820,M
C. E. R. GUAIMARO,5113,105113000071,179877,C
C. E. R.  EL BARCINO,5134,205134000091,179892,C
C. E. R. LA TRAVESIA,5134,105134000046,179895,C
C. E. R. MOROTO,5138,105138000121,179910,C
COLEGIO JUNTAS DE URAMITA,5138,205138000622,179916,C
C. E. R. LA UNION,5138,205138000142,179946,C
C. E. R. LOS CORALES,5148,105148000863,179949,C
