nombre,muni_id,cod_dane,id_sede,jornada
,5150,105150000099,178263,
I. E.  MANUEL ANTONIO TORO,5284,105284000214,178305,M
I. E.  MANUEL ANTONIO TORO,5284,105284000214,178308,T
I. E. SANTO TOMAS DE AQUINO,5318,105318000049,178332,M
I. E. SANTO TOMAS DE AQUINO,5318,105318000049,178335,T
INSTITUCION EDUCATIVA SANTA,17873,117873000991,178422,M
INSTITUCION EDUCATIVA SANTA,17873,117873000991,178425,T
AGROECOLOGICO,18150,118150001758,178428,M
AGROECOLOGICO,18150,118150001758,178431,T
BUENOS AIRES,18150,118150001758,178437,M
BUENOS AIRES,18150,118150001758,178440,T
ATANASIO GIRARDOT,18150,118150001758,178443,M
ATANASIO GIRARDOT,18150,118150001758,178446,T
CENT DOC URB MIX STA TERESA,23189,123189000337,178581,M
IE SAN ISIDRO,23189,123189000337,178584,M
IE SAN ISIDRO,23189,123189000337,178587,T
CENT EDUC URB MIX EL CARMEN,23189,123189000337,178590,M
CENTRO EDUC. DIST. JESUS MA,8001,108001002657,178800,M
CENTRO EDUC. DIST. JESUS MA,8001,108001002657,178803,T
INST. EDUC. DIST. CONCENTRA,8001,108001002835,178812,M
INST. EDUC. DIST. CONCENTRA,8001,108001002835,178815,T
SAN JOSE  DE TUBARA,8832,108832000111,178863,M
INSTITUCION EDUCATIVA TECNI,8832,108832000111,178866,M
CENT EDUC DIST AGUAS CLARAS,11001,111001012459,178932,M
CENT EDUC DIST AGUAS CLARAS,11001,111001012459,178935,T
CENT EDUC DIST SAN JOSE NOR,11001,111001012459,178938,M
CENT EDUC DIST SAN JOSE NOR,11001,111001012459,178941,T
CENT EDUC DIST TAYRONA,11001,111001012963,178944,M
CENT EDUC DIST TAYRONA,11001,111001012963,178947,T
COL DIST BENJAMIN HERRERA,11001,111001012963,178950,M
COL DIST BENJAMIN HERRERA,11001,111001012963,178953,T
CENT EDUC DIST REP DE FRANC,11001,111001012963,178956,M
CENT EDUC DIST REP DE FRANC,11001,111001012963,178959,T
CENT EDUC DIST VALLE DE CAF,11001,111001046931,179076,M
CENT EDUC DIST VALLE DE CAF,11001,111001046931,179079,T
,68524,168524000111,179502,
SEDE JOSE MARIA CORDOBA,70713,170713000844,179595,M
INST EDUC MANUEL ANGEL ANAC,70713,170713000844,179598,M
SEDE MADRE BERNARDA,70713,170713000844,179604,T
SEDE UNION CAMPESINA,70713,170713000844,179607,M
SEDE UNION CAMPESINA,70713,170713000844,179610,T
LIBARDO MADRID VALDERRAMA,76622,176622000084,179814,M
CARLOS VILLAFAÑE,76622,176622000084,179817,M
NORMAL SUPERIOR JORGE ISAAC,76622,176622000084,179820,M
C. E. R. GUAIMARO,5113,105113000071,179877,C
C. E. R. LA TRAVESIA,5134,105134000046,179895,C
COLEGIO JUNTAS DE URAMITA,5138,205138000622,179916,C
C. E. R. JOSE JOAQUIN VELEZ,5150,205310000141,179952,C
C. E. R. LA AURORA,5197,205197000202,179958,C
C. E. R. EL PORVENIR LA FLO,5197,205197000687,179967,C
C. E. R. CEBADEROS,5197,205197000687,179973,C
C. E. R. EL MORITO,5209,205209000246,179976,C
C. E. R. LA ARGENTINA,5240,205240000106,179991,C
I. E. PRESBITERO GABRIEL YE,5240,205240000351,179994,C
,5250,205250000716,179997,
C. E. R. MORRO PLANCHO,5282,205282000165,180000,C
C. E. R. EL MORRON,5282,205282000513,180009,C
C. E. R. SAN CARLOS BORROME,5034,205034000345,180105,C
C. E. R. MEDIA LUNA,5034,205034000256,180108,C
C. E. R. SAN LORENCITO,5040,105040000212,180111,C
COLEGIO UVEROS,5659,205051000758,180165,M
COLEGIO UVEROS,5659,205051000758,180168,T
C. E. R. GUAYABAL,5079,205079000885,180174,C
C. E. R. EL TABLAZO,5079,205079000206,180177,C
COL ANTONIO MARIA CLARET,27001,127001000268,180648,M
ESCOL URB DE INTEGRACION PO,27001,127001000268,180663,M
ESCUELA URBANA INTEGRADA EL,52258,152258000212,181011,M
I.E. NUESTRA SEÑORA DE LAS,52258,152258000212,181014,M
INST. EDU. AGROPECUARIO (LA,20400,220400008345,181458,M
C. E. R. PATIO BONITO,5315,105315000021,181749,C
C. E. R. EL SILENCIO,5353,105353000051,181770,C
,5361,205361001169,181776,
,5361,205361001436,181779,
C. E. R.  LA TRAVIEZA,5368,105368000066,181788,C
C. E. R. LA DIVISA,5400,105400000189,181803,C
C. E. R. EL SOCORRO,5411,205411000185,181809,C
C. E. R. MAXIMILIANO GOMEZ,5440,105440000408,181818,M
C. E. R. SAN PABLO,5483,205483000066,181836,C
C. E. R. SANTA ANA,5541,205541000403,181896,C
C. E. R. EL POPERO,5604,105604000013,181911,C
C. E. R. BOMINAS,5604,205604000824,181914,C
C. E. R. LEJANIAS,5604,205604000824,181917,C
C. E. R. GABRIEL VALLEJO,5607,205607000035,181920,C
,5647,205647000160,181953,
,5649,205649001121,181962,
C. E. R. EL RUANO,5656,205656000105,181965,C
I. E. R. SAN JOSE DEL NARE,5670,105670000938,181989,C
COLEGIO SAN JOSE DEL NUS,5670,205670000452,182010,C
I. E. SANTA RITA,5674,205674000350,182031,C
C. E. R. ABEL BEDOYA,5679,205679000331,182037,C
C. E. R. VALLECITOS,5686,105686000440,182040,C
C. E. R. AITON,5686,205686000584,182043,C
I. E. SAN ISIDRO,5686,205686000924,182046,C
C. E. R. MORTIÑAL,5686,205686000061,182049,C
C. E. R. DELGADITA,5690,205690000386,182076,C
C. E. R. RURAL TENERIA,5697,205697000136,182079,C
C. E. R. PIEDRAS BLANCAS,5756,205756000781,182085,C
C. E. R.  JESUS MARIA ALVAR,5856,205856000193,182157,C
C. E. R. AQUI SI,5895,105895001160,182208,M
CENTRO EDUCATIVO SANTA CRUZ,13001,213001007401,182238,T
ESCUELA RURAL SAN ANTONIO,17050,217050000108,182388,C
CENTRO EEDUCATIVO ELADIA ME,17050,217050000108,182391,C
ESCUELA RURAL EL JARDÍN,17050,217050000108,182394,C
ESCUELA RURAL PALMICHAL,17050,217050000108,182397,C
ESCUELA RURAL LA PLANTA,17050,217050000108,182400,C
ESCUELA RURAL PUERTO SAMARI,17050,217050000108,182403,C
ESCUELA RURAL LA MORAVIA,17050,217050000108,182406,C
ESCUELA RURAL DIAMANTE BAJO,17050,217050000108,182409,C
ESCUELA RURAL SAN MIGUEL,17050,217050000108,182415,C
,52079,252079001022,182688,
,52254,252260000321,182760,
,52838,252838000630,183135,
ESC NUEVA LA BELLEZA,50370,250330000623,183348,M
INSTITUCION EDUCATIVA LA JU,50370,250330000623,183351,M
ESC NUEVA  LA SIRIA,50370,250330000623,183354,M
ESC NUEVA LAS ROSAS,50370,250330000623,183357,M
ESC NUEVA LA PALESTINA,50370,250330000623,183363,M
ESC NUEVA BUENOS AIRES,50370,250330000623,183366,M
ESC NUEVA LA PRIMAVERA,50370,250330000623,183372,M
ESC NUEVA MANSITAS,50370,250330000623,183375,M
ESC NUEVA MONTEALEGRE,50370,250330000623,183378,M
ESC NUEVA EL PLACER,50370,250330000623,183381,M
ESC NUEVA LA PISTA,50370,250330000623,183384,M
ESC NUEVA BAJA ESTRELLA,50370,250330000623,183387,M
